country,export,latitude,longitude
Nepal,123001.86,28.394857,84.124008
Nauru,1232.26,-0.522778,166.931503
New Zealand,3945406.27,-40.900557,174.885971
Oman,1937699.36,21.512583,55.923255
Pakistan,2621680.44,30.375321,69.345116
Panama,7719389.61,8.537981,-80.782127
Pitcairn Islands,6.27,-24.703615,-127.439308
Peru,9687229.86,-9.189967,-75.015152
Philippines,8660368.36,12.879721,121.774017
Palau,19581.85,7.51498,134.58252
Papua New Guinea,95269.78,-6.314993,143.95555
Poland,5952142.84,51.919438,19.145136
Portugal,1722352.63,39.399872,-8.224454
Paraguay,2118083.82,-23.442503,-58.443832
French Polynesia,651176.69,-17.679742,-149.406843
Qatar,6458786.25,25.354826,51.183884
Romania,942528.03,45.943161,24.96676
Russia,5786748.45,61.52401,105.318756
Rwanda,18862.95,-1.940278,29.873888
Saudi Arabia,14289207.05,23.885942,45.079162
Senegal,198312.46,14.497401,-14.452362
Serbia,166637.51,44.016521,21.005859
Singapore,31519012.13,1.352083,103.819836
Saint Helena,572.61,-24.143474,-10.030696
Solomon Islands,19826.79,-9.64571,160.156194
Sierra Leone,78360.71,8.460555,-11.779889
El Salvador,3373485.02,13.794185,-88.89653
San Marino,31694.97,43.94236,12.457777
Somalia,105431.07,5.152149,46.199616
Saint Pierre and Miquelon,88.48,46.941936,-56.27111
Sudan,74409.82,12.862807,30.217636
Suriname,375753.02,3.919305,-56.027783
Slovakia,387819.59,48.669026,19.699024
Slovenia,344515.17,46.151241,14.995463
Sweden,4354703.1,60.128161,18.643501
Swaziland,19751.62,-26.522503,31.465866
Seychelles,18275.62,-4.679574,55.491977
Syria,8598.03,34.802075,38.996815
Turks and Caicos Islands,346450.41,21.694025,-71.797928
Chad,84647.38,15.454166,18.732207
Togo,430791.52,8.619543,0.824782
Thailand,13307832.31,15.870032,100.992541
Tajikistan,11193.78,38.861034,71.276093
Tokelau,425.33,-8.967363,-171.855881
Turkmenistan,28265.54,38.969719,59.556278
Tonga,20424.11,-21.178986,-175.198242
Trinidad and Tobago,2819978.57,10.691803,-61.222503
Tunisia,461074.75,33.886917,9.537499
Turkey,10044692.65,38.963745,35.243322
Tuvalu,832.38,-7.109535,177.64933
Tanzania,332201.59,-6.369028,34.888822
Uganda,104498.94,1.373333,32.290275
Ukraine,2354801.48,48.379433,31.16558
Uruguay,1710612.09,-32.522779,-55.765835
Uzbekistan,505552.96,41.377491,64.585262
Vatican City,718.91,41.902916,12.453389
Saint Vincent and the Grenadines,102046.42,12.984305,-61.287228
Venezuela,1272231.48,6.42375,-66.58973
British Virgin Islands,580458.78,18.420695,-64.639968
Vietnam,10883073.32,14.058324,108.277199
Vanuatu,4649.53,-15.376706,166.959158
Wallis and Futuna,471.69,-13.768752,-177.156097
Samoa,52675.26,-13.759029,-172.104629
Yemen,270224.33,15.552727,48.516388
South Africa,5333693.53,-30.559482,22.937506
Congo [DRC],131006.4,-4.038333,21.758664
Zambia,99307.99,-13.133897,27.849332
Zimbabwe,39145.99,-19.015438,29.154857
